LIMIT_BAL,PAY_SEP,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,BILL_AMTSEP,BILL_AMTAUG,BILL_AMTJUL,BILL_AMTJUN,BILL_AMTMAY,BILL_AMTAPR,PAY_AMTSEP,PAY_AMTAUG,PAY_AMTJUL,PAY_AMTJUN,PAY_AMTMAY,PAY_AMTAPR,IS_DEFAULT
620.0,2,2,-1,-1,-2,-2,121.303,96.162,21.358999999999998,0.0,0.0,0.0,0.0,21.358999999999998,0.0,0.0,0.0,0.0,1
3720.0,-1,2,0,0,0,2,83.142,53.475,83.142,101.432,107.105,101.091,0.0,31.0,31.0,31.0,0.0,62.0,1
2790.0,0,0,0,0,0,0,906.409,434.837,420.329,444.261,463.388,482.019,47.058,46.5,31.0,31.0,31.0,155.0,0
1550.0,0,0,0,0,0,0,1456.69,1495.223,1528.021,877.734,897.729,915.957,62.0,62.589,37.2,34.1,33.139,31.0,0
1550.0,-1,0,-1,0,0,0,267.127,175.77,1110.885,649.14,593.526,593.061,62.0,1137.111,310.0,279.0,21.358999999999998,21.049,0
1550.0,0,0,0,0,0,0,1996.4,1769.139,1785.848,601.2139999999999,608.189,620.744,77.5,56.265,20.367,31.0,31.0,24.8,0
15500.0,0,0,0,0,0,0,11406.914999999999,12772.713,13795.217,16822.243,14973.093,14692.264,1705.0,1240.0,1178.0,627.409,426.25,426.87,0
3100.0,0,-1,-1,0,0,-1,368.156,11.78,18.631,6.851,-4.929,17.576999999999998,11.78,18.631,0.0,18.011,52.297,47.802,0
4340.0,0,0,2,0,0,0,349.835,436.976,375.348,378.541,365.58299999999997,115.289,103.199,0.0,13.392,31.0,31.0,31.0,0
620.0,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,403.217,431.272,0.0,0.0,0.0,403.217,34.782,0.0,0
6200.0,0,0,2,0,0,-1,343.263,303.397,171.585,77.903,56.668,115.661,71.486,0.372,1.55,9.3,115.878,2.046,0
8060.0,-1,-1,-1,-1,-1,2,380.091,671.77,308.94599999999997,264.027,690.897,423.70799999999997,676.358,308.94599999999997,266.073,691.331,0.0,112.84,0
19530.0,-1,0,-1,-1,-1,-1,376.247,201.5,201.5,201.5,201.5,88.97,31.0,201.5,201.5,201.5,88.97,0.0,0
2170.0,1,2,2,0,0,2,2039.862,2088.439,2036.731,2070.242,1120.247,1143.714,99.2,0.0,93.0,93.0,46.5,0.0,1
7750.0,0,0,0,0,0,0,2197.497,2078.86,1970.391,1850.576,1763.125,1720.872,93.0,93.0,93.0,93.0,93.0,93.0,0
1550.0,1,2,0,0,0,0,1569.0339999999999,904.3629999999999,871.596,891.901,915.461,936.5409999999999,0.0,46.5,34.1,37.2,40.3,34.1,0
620.0,0,0,2,2,2,2,476.656,558.31,540.268,568.478,555.055,592.224,99.2,0.0,46.5,0.0,51.15,0.0,1
9920.0,0,0,0,-1,-1,-1,7851.866,7642.616,6034.553,2172.294,181.536,6063.5689999999995,321.098,310.0,2354.14,620.0,6063.5689999999995,1550.0,0
11160.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5580.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4030.0,0,0,0,0,0,-1,1189.098,858.328,759.159,639.096,365.862,28.83,93.0,47.647,31.0,62.0,28.83,1046.684,0
3720.0,-1,-1,-1,-1,-1,-1,9.796,9.796,9.796,0.0,19.592,9.796,9.796,9.796,0.0,19.592,9.796,0.0,1
2170.0,2,0,0,2,2,2,1273.697,1315.795,1395.62,1364.186,1454.055,1426.372,62.217,111.042,0.0,111.631,0.0,56.42,1
13950.0,-2,-2,-2,-2,-2,-2,170.87199999999999,602.02,45.663,17.36,0.0,0.0,602.268,45.663,17.36,0.0,0.0,34.967999999999996,1
2790.0,0,0,0,-1,0,0,147.064,219.17,0.0,167.338,197.16,257.052,178.46699999999998,0.0,167.338,37.2,63.394999999999996,62.0,0
1550.0,0,0,0,0,0,0,1476.22,1296.11,1116.713,897.977,924.699,931.426,61.163,44.206,31.031,44.392,32.922,30.907,0
1860.0,1,-2,-1,-1,-1,-1,-3.379,-13.175,8.029,-1.767,3.937,-5.859,0.0,31.0,0.0,15.5,0.0,31.0,1
1550.0,0,0,0,0,0,0,698.771,500.278,532.053,554.218,586.861,608.127,40.3,40.3,31.0,46.5,31.0,31.372,0
1550.0,-1,-1,-1,-1,-1,-1,20.15,105.865,105.896,63.24,943.33,7.967,105.865,106.051,63.364,943.33,7.967,0.0,0
1550.0,0,0,0,0,0,0,475.199,513.825,542.376,555.117,569.625,353.4,46.5,46.5,31.0,31.0,49.6,0.0,0
7130.0,-1,-1,-1,-1,-1,-1,516.026,535.215,411.246,475.509,443.517,1144.613,535.37,411.711,475.509,443.517,1156.052,0.0,0
1550.0,2,0,0,0,0,0,946.058,918.158,685.162,704.754,719.727,734.08,53.258,46.5,31.0,31.0,31.0,22.196,1
3100.0,0,0,0,0,0,0,2884.116,2606.201,2569.28,2509.698,2439.793,2343.259,93.713,108.841,102.362,99.324,99.2,77.624,0
15500.0,-2,-2,-2,-2,-2,-2,338.799,128.712,704.382,233.151,2214.609,278.411,128.712,707.637,233.151,2214.609,30.411,1599.042,0
15500.0,-2,-2,-2,-2,-2,-2,424.979,155.186,965.03,98.58,0.0,164.083,155.186,966.518,98.58,0.0,164.083,23.808,0
4960.0,-1,-1,-2,-2,-2,-1,938.215,-4.061,-16.337,-28.613,-46.128,-58.403999999999996,4.061,12.276,12.276,17.515,24.552,0.0,0
8680.0,0,0,0,0,0,0,5781.593,5621.168,5593.082,5282.71,5390.931,5499.803,248.806,249.85999999999999,195.3,198.4,198.4,208.847,0
1860.0,0,0,0,0,0,-1,466.674,303.986,343.108,186.806,-878.385,578.46,46.5,47.058,63.333,0.0,1477.801,19.127,0
1550.0,1,-1,-1,-2,-2,-2,0.0,24.18,0.0,0.0,0.0,0.0,24.18,0.0,0.0,0.0,0.0,0.0,1
8680.0,-1,-1,2,-1,0,-1,15.438,281.325,143.871,309.256,557.256,293.787,281.325,0.0,309.256,248.0,295.275,24.211,0
11160.0,0,0,0,0,0,0,6778.708,6860.176,6413.745,19489.668999999998,6075.039,5555.944,310.0,217.0,186.0,5854.04,868.0,124.0,0
2170.0,0,0,0,0,0,0,2093.151,2076.969,1982.419,1974.669,2006.258,2045.07,93.0,139.5,125.30199999999999,77.5,86.8,77.5,0
310.0,0,0,0,0,0,0,58.187,98.704,186.093,110.856,113.77,137.981,46.5,90.737,31.0,9.3,31.0,15.5,0
4340.0,0,0,0,0,0,0,1844.624,1907.864,1950.675,1992.68,2079.449,2163.862,93.0,93.0,93.0,124.0,124.0,93.0,0
1240.0,0,0,0,2,0,0,586.737,660.145,803.551,781.479,825.716,905.107,93.0,155.0,0.0,62.0,93.0,0.0,0
6510.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
620.0,0,0,2,-1,0,0,434.868,511.004,489.8,506.57099999999997,516.925,0.0,93.0,0.0,518.971,10.354,0.0,0.0,1
4650.0,0,0,-1,0,0,-2,138.353,94.054,36.27,36.27,0.0,0.0,31.403,36.27,0.0,0.0,0.0,0.0,1
11780.0,-1,-1,-1,-1,-1,-1,694.431,667.74,469.154,992.558,367.319,368.063,667.74,469.278,764.987,367.381,368.125,255.781,0
