,EAD
27394,0.0
15341,1477.956
26617,13.764
21600,12.09
11563,1503.252
26679,186.031
25827,0.0
13498,4862.443
6576,621.612
18941,501.518
21282,584.8149999999999
6455,0.0
19701,177.196
19409,334.118
2559,624.278
4927,260.524
4666,2333.184
25319,1243.534
22976,136.989
20121,1585.092
27971,848.501
5369,224.099
8278,308.543
15058,166.625
9977,3158.435
28537,295.74
16073,501.022
14557,5458.387
8079,2796.851
17643,629.703
6783,1245.177
20568,5038.74
19262,3140.796
21287,542.345
498,2.046
3046,228.594
5511,156.86
27082,3856.121
14195,3883.463
16086,745.116
21228,772.737
23163,1294.343
6933,3473.55
4566,3918.245
28372,30.628
11636,132.339
9034,645.978
22498,926.776
5636,1336.069
1047,1329.807
7986,10.23
19563,894.443
2737,20.646
3881,167.152
1605,298.034
8519,3904.078
24658,219.077
3204,-53.63
17073,811.735
21376,1713.122
24277,4497.79
21436,465.248
18903,534.75
6661,1255.376
8883,65.193
29653,1788.979
18879,5315.508
18381,8136.756
17713,7.068
29720,132.649
1312,665.26
24581,0.0
1812,3778.745
4127,374.821
11551,449.159
1906,689.347
22106,529.387
6285,138.942
20551,540.299
25539,4534.587
6663,1238.946
2743,7106.874
15450,2658.839
6578,5342.075
25649,4239.808
22460,614.11
16402,1232.095
22668,1260.739
21835,4039.858
16541,636.368
26499,355.477
11178,4587.287
20601,2144.642
14152,30.38
5456,668.484
16717,1047.056
2591,-6.82
24712,3273.91
4937,2854.573
5766,24.862
27392,627.688
14996,2005.204
19196,434.465
4811,761.515
21595,545.569
17790,179.707
8640,155.744
12850,30.69
20021,15318.34
7743,4083.32
27712,2074.179
6558,4655.735
13291,846.486
7597,88.505
21791,3446.27
14092,971.323
10171,1118.542
16282,2709.958
20350,344.503
13586,1415.925
26708,711.016
2467,5057.588
10616,348.161
5244,96.162
9537,7135.704
2167,994.542
5535,1445.375
16658,502.293
21294,23.529
4406,1577.962
13307,0.0
4923,753.827
22025,389.67
18534,134.571
1838,3611.066
8054,1042.468
8544,1073.995
5188,0.0
9715,2103.784
8130,883.376
23614,866.016
11677,24.304
22657,124.589
2715,1305.255
19943,137.206
19976,34.224
18708,384.183
5910,5304.441
12391,2417.07
2531,1133.577
20226,4331.723
117,434.899
25225,1855.846
26527,2507.683
2781,975.942
21259,171.089
24938,0.0
8599,6315.599
285,3420.726
10269,1868.618
24827,255.502
22800,3522.158
3682,1560.602
5540,3427.05
22084,5810.361
14585,57.443
12756,7769.747
3000,4741.946
24811,2050.092
23607,8387.143
25232,3670.648
10648,231.446
29297,451.887
15704,487.785
4852,369.272
9473,0.0
8061,3782.744
11003,43.834
1057,492.59
10510,142.321
8486,768.676
9471,105.245
21182,90.83
27967,140.182
4424,121.117
15406,12.896
10856,48.453
17996,9416.157
24826,1013.948
23934,1514.226
7730,1132.771
23134,0.0
6695,0.0
28339,1322.336
16168,2249.081
325,0.0
4587,2866.88
22573,101.866
22840,22.909
11389,1529.54
25015,333.405
29448,77.903
13295,2766.44
16883,1532.516
9943,507.408
29335,224.068
15853,31.806
27124,1029.727
16571,3118.321
17267,592.503
24835,0.0
1069,1013.421
27804,501.022
24300,9169.366
27692,2769.726
26131,3664.138
26957,4931.914
23435,38.502
19257,2766.316
20272,108.19
6131,929.659
20366,493.892
24003,4423.607
11208,198.152
25530,0.0
24684,1194.616
27405,9332.178
12799,2888.394
1652,6.82
29800,755.78
10972,1538.065
4597,681.411
15043,10367.237
24078,2313.84
10578,603.787
11396,634.26
15377,174.716
14867,1398.627
13617,228.253
26616,185.876
23396,6670.921
5878,771.063
21307,-206.956
25010,626.355
23331,186.558
24466,68.696
8003,82.15
5813,287.68
6925,565.533
23845,2562.801
14005,858.917
24000,1764.458
8248,7373.908
2949,2498.166
20894,0.0
29639,10.106
6024,3239.438
21056,10.075
19189,26.598
8865,0.0
28365,2219.724
5508,46.128
17975,1328.35
20249,256.897
26561,5790.118
29512,1153.448
7691,218.798
17146,5290.026
24639,1517.977
991,37.665
25318,152.892
10271,918.096
14344,785.974
16352,96.968
28974,0.0
12071,624.433
8658,168.888
12912,2907.707
24971,9096.299
24963,986.544
4146,314.185
11149,90.83
15473,89.9
2823,40.889
468,1840.532
15874,26.877
17185,37.014
585,452.693
1045,832.257
17394,237.894
26801,138.663
12095,928.636
28625,1506.352
4116,62.217
3125,2317.653
8521,3390.966
12977,10949.2
4502,42.563
10278,971.788
18083,5.363
2284,3779.365
21344,619.287
26367,3243.344
2669,1080.939
24735,2074.985
3385,159.433
22593,14.818
26532,176.142
8284,0.0
19564,27.869
16678,2748.305
4624,166.563
11654,498.759
3983,332.196
20406,5467.78
25811,1346.609
26483,18.073
10524,2562.15
19370,3782.527
21196,2508.52
22967,75.361
18828,0.0
15963,332.382
14147,24.18
10198,2248.368
11494,1305.72
13358,0.0
15617,72.23
2383,121.923
22558,5823.784
15213,1682.649
6401,1231.413
13942,213.962
1507,812.913
27885,4271.459
1926,2039.583
5811,42.315
8244,4386.81
20441,25.575
13054,552.451
24194,10.819
826,839.697
6301,3.1
11126,550.219
14847,41.478
23961,2258.35
4651,152.52
10646,832.257
1201,933.131
7242,0.0
23088,1433.223
24153,77.314
10128,181.536
3376,1518.752
9414,60.233
26336,78.523
18952,12.152
20266,1031.99
2363,2278.097
23105,73.129
20323,5995.152
23376,154.256
15621,0.0
3358,4084.963
14177,0.0
3943,24.18
9438,3929.25
6969,1670.59
15825,486.7
2656,1259.623
25156,226.362
19847,76.632
24451,36.89
23746,12.803
6056,10912.992
18060,2676.695
4601,507.532
13592,861.242
14822,469.65
13363,37.2
29677,164.982
16372,9.796
2953,1069.5
29582,1861.147
7070,25.916
29917,130.386
27437,0.0
20656,212.505
24158,2128.801
27176,39.928
13425,294.531
17606,3678.336
24385,37.138
2929,1558.339
4437,846.796
12903,2497.081
19644,561.906
22406,15.004
26479,2246.322
17380,1353.987
24845,696.632
13376,928.419
8953,0.0
7727,1010.259
13107,2782.405
6922,1868.37
5658,-0.6819999999999999
12283,548.638
24673,8261.841
19773,1899.897
11645,0.0
25861,510.167
11316,231.787
26854,4135.431
310,114.607
15316,167.121
3713,925.846
26964,2153.384
27768,605.802
20193,1866.169
11378,12.09
4187,8265.499
23302,1407.772
2444,0.0
15529,28.396
16363,57.226
8238,21.576
8409,101.246
27749,939.455
1535,84.382
13540,471.138
26706,1235.908
17970,87.637
29359,499.937
19743,4435.232
1923,4332.622
4958,6207.409
21583,225.835
11545,-1.116
1206,651.744
4813,1389.668
6055,4993.573
24974,2115.75
8645,297.538
12703,1328.536
26819,10.106
2304,0.0
22896,165.695
10126,653.232
2209,0.0
26267,2897.446
9396,10.199
28052,269.018
29450,1611.845
1787,2565.002
13548,0.0
25565,5771.053
23184,107.694
15070,7.595
6644,100.564
28400,7515.082
23489,2381.327
6101,45.663
341,183.396
4538,145.049
9439,527.217
12984,922.932
4003,400.117
22567,1125.92
13551,776.333
24075,23.839
26333,13104.103
16884,0.0
28027,365.056
25994,286.502
10661,45.384
17903,2677.501
19477,1984.031
23487,430.28
23340,11.594
2142,580.878
2228,16.151
10551,6122.314
14272,3430.894
27705,599.385
28743,36.952
18616,520.335
26255,0.0
2872,1343.943
5662,-0.031
