,LIMIT_BAL,PAY_SEP,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,PAY_AMTSEP,PAY_AMTAUG,PAY_AMTJUL,PAY_AMTJUN,PAY_AMTMAY,PAY_AMTAPR,PAID_TO_REMAINING_SEP,PAID_TO_REMAINING_AUG,PAID_TO_REMAINING_JUL,PAID_TO_REMAINING_JUN,PAID_TO_REMAINING_MAY,PAID_TO_REMAINING_APR,CREDIT_UTIL_MEAN,CREDIT_UTIL_TREND
27394,0.8421052631578947,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.5238214018458468,-0.4845708775313404,-0.44205015826637456,-0.4007212983370066,-0.40050730925839395,-0.3878975950349108,1.573936740984649,1.2163880034833434,1.154349170012885,1.1570722190986589,0.975108437670154,0.9693836863261426,-0.43691768493592403,-0.034741440904627316
15341,-0.47368421052631576,2.0,2.0,2.0,2.0,2.0,2.0,0.04988775255674734,-0.12295081967213117,-0.44205015826637456,0.5075803112268751,-0.40050730925839395,-0.07757951900698214,-0.04443553151485516,-0.05836636046869436,-0.07511056079809333,0.02179732865859547,-0.06236037770215913,-0.020905858044916147,0.8152844864909148,2.190099458143619
26617,-0.3157894736842105,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.4130705911698678,-0.3775313404050145,-0.2258339420501583,-0.2821077940292527,-0.40050730925839395,-0.11947245927075255,1.573936740984649,1.2163880034833434,2.383808900823863,0.5461939584786293,-0.06236037770215913,2.0067364961722616,-0.42568122552999454,-0.04901205972050165
21600,-0.47368421052631576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.005487652781242108,-0.390549662487946,-0.34709033357682006,-0.4007212983370066,-0.1922435084440291,-0.3878975950349108,3.274340400709754,0.14810812531982462,1.154349170012885,-0.06468430214140036,0.975108437670154,-0.06796912351997628,-0.416530091022823,0.020335433876640236
11563,0.3157894736842105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4.538288850087304,5.516152362584378,16.60202093985878,4.358779135777733,6.613443695347439,0.7367468321696404,0.5851554492885237,0.5568373640465353,2.383808900823863,0.11165230284092205,0.14368388294103981,-0.03305728539377092,0.20602923231703815,-2.4432329905205004
26679,1.1578947368421053,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9413818907458219,-0.48432979749276767,-0.2976625273922572,-0.4007212983370066,-0.40050730925839395,-0.3878975950349108,1.5379508611671038,-0.09848597946287829,1.154349170012885,-0.06468430214140036,0.975108437670154,0.9693836863261426,-0.4281697807287551,0.04932521748518396
25827,0.8421052631578947,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.5238214018458468,-0.4845708775313404,-0.44205015826637456,-0.4007212983370066,-0.40050730925839395,-0.3878975950349108,1.573936740984649,1.2163880034833434,1.154349170012885,1.1570722190986589,0.975108437670154,0.9693836863261426,-0.43691768493592403,-0.034741440904627316
13498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9121975555001247,0.4611861137897782,0.5581933284635987,0.5695585387029987,0.6085041051999199,0.5616757176105508,-0.06405673934294727,-0.06177659284802669,-0.033226589406957614,-0.028652246753392997,-0.02829934948190834,-0.023540702677691826,0.13143918067440627,0.7965620379191041
6576,-0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,-0.1496632576702419,3.1316297010607523,0.04492330168005841,-0.13357376611233554,-0.1602029237033576,-0.12929919834497028,0.0007326368942766926,2.5314860999429354,0.058323314913972815,-0.0026945248193617965,-0.015281169622943671,-0.01443109658737316,0.8629432710702992,-1.3658944789187342
18941,-0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,-0.19955101022698926,-0.17116682738669242,-0.12551740930119315,-0.24043277900220394,-0.24030438555503636,-0.23273855702094648,0.010170784167359413,0.03631024546929442,0.04445984767458345,-0.01249478820547307,-0.0192074287092033,-0.023587229202544007,0.6348735139391328,0.11959980133372641
