,IS_DEFAULT
27394,0
15341,1
26617,0
21600,0
11563,1
26679,0
25827,1
13498,0
6576,0
18941,0
21282,0
6455,0
19701,0
19409,0
2559,1
4927,0
4666,0
25319,0
22976,0
20121,0
27971,1
5369,1
8278,0
15058,0
9977,0
28537,0
16073,1
14557,1
8079,1
17643,0
6783,0
20568,0
19262,0
21287,0
498,0
3046,0
5511,0
27082,0
14195,1
16086,1
21228,1
23163,0
6933,0
4566,0
28372,1
11636,1
9034,1
22498,0
5636,0
1047,1
7986,0
19563,0
2737,0
3881,0
1605,0
8519,0
24658,0
3204,1
17073,0
21376,0
24277,0
21436,0
18903,0
6661,0
8883,0
29653,0
18879,1
18381,1
17713,0
29720,0
1312,0
24581,1
1812,1
4127,0
11551,0
1906,0
22106,1
6285,0
20551,1
25539,0
6663,0
2743,0
15450,0
6578,1
25649,0
22460,0
16402,0
22668,1
21835,1
16541,0
26499,0
11178,0
20601,0
14152,1
5456,1
16717,1
2591,0
24712,0
4937,0
5766,0
27392,0
14996,0
19196,0
4811,0
21595,0
17790,0
8640,0
12850,0
20021,0
7743,0
27712,0
6558,0
13291,0
7597,1
21791,1
14092,0
10171,0
16282,1
20350,1
13586,0
26708,0
2467,0
10616,0
5244,0
9537,1
2167,0
5535,0
16658,0
21294,1
4406,0
13307,1
4923,0
22025,0
18534,0
1838,0
8054,0
8544,0
5188,0
9715,1
8130,0
23614,0
11677,0
22657,0
2715,0
19943,1
19976,0
18708,0
5910,1
12391,0
2531,0
20226,0
117,1
25225,0
26527,1
2781,0
21259,0
24938,0
8599,0
285,0
10269,0
24827,0
22800,0
3682,0
5540,0
22084,0
14585,0
12756,0
3000,0
24811,0
23607,0
25232,1
10648,1
29297,0
15704,0
4852,0
9473,1
8061,0
11003,1
1057,0
10510,0
8486,1
9471,1
21182,0
27967,0
4424,1
15406,0
10856,0
17996,1
24826,0
23934,0
7730,0
23134,0
6695,0
28339,0
16168,0
325,0
4587,0
22573,0
22840,1
11389,0
