,LIMIT_BAL,PAY_SEP,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,PAY_AMTSEP,PAY_AMTAUG,PAY_AMTJUL,PAY_AMTJUN,PAY_AMTMAY,PAY_AMTAPR,PAID_TO_REMAINING_SEP,PAID_TO_REMAINING_AUG,PAID_TO_REMAINING_JUL,PAID_TO_REMAINING_JUN,PAID_TO_REMAINING_MAY,PAID_TO_REMAINING_APR,CREDIT_UTIL_MEAN,CREDIT_UTIL_TREND
27394,9300.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
15341,1550.0,2,2,2,2,2,2,71.3,46.5,0.0,105.4,0.0,37.2,0.0482423022065609,0.0306773560209424,0.0,0.0707846688734828,0.0,0.0453686200378071,0.8246633333333334,0.0988874285714285
26617,2480.0,-1,-1,-1,-1,0,0,13.764,13.764,27.528,13.764,0.0,32.178,1.0,1.0,2.0,0.5,0.0,2.3378378378378377,0.0073999999999999,-0.0006342857142857
21600,1550.0,-1,-1,-1,-1,-1,-1,64.418,12.09,12.09,0.0,24.18,0.0,5.328205128205129,0.1876804619826756,1.0,0.0,1.0,0.0,0.0134266666666666,0.002448
11563,6200.0,-2,-2,-2,-2,-2,-2,629.114,771.621,3880.301,552.296,814.3389999999999,134.819,0.4185020209519096,0.4984779909480514,5.056801195814649,0.1443303980103533,0.1986028472279974,0.0336547390577601,0.4234258333333333,-0.1070501428571428
26679,11160.0,-2,-2,-2,-2,-2,-2,182.094,0.031,18.383,0.0,0.0,0.0,0.978836860523246,0.0001704158145875,1.0,0.0,1.0,1.0,0.0057611111111111,0.0037365079365079
25827,9300.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13498,10230.0,0,0,0,0,0,0,178.46699999999998,121.613,127.348,112.592,117.149,113.832,0.0367031551835157,0.0280842168562572,0.0340669729487668,0.0294920098739768,0.0328308935319925,0.0428286504076419,0.3743030303030303,0.0369489177489177
6576,620.0,0,0,0,0,0,0,46.5,465.0,62.0,31.0,27.9,31.0,0.0748055056852184,2.815315315315315,0.1085304970696765,0.0507382414125526,0.0453789139313265,0.0516102394715111,0.8560500000000001,-0.0591657142857142
18941,620.0,0,0,0,0,0,0,40.3,40.3,40.3,18.6,18.6,18.6,0.0803560390653974,0.1026694045174538,0.0972544325577915,0.0427167876975651,0.0415944540727903,0.042783799201369,0.7058499999999999,0.0068599999999999
21282,620.0,0,0,0,0,0,-1,46.5,79.98,39.649,20.274,238.328,0.0,0.0795123244102836,0.0715494051415735,0.0681878765260969,0.0421364602796211,0.5874980895613633,0.0,0.9164666666666668,0.1829142857142857
6455,8680.0,1,-2,-1,0,0,-1,0.0,369.055,6.2,1.519,144.522,194.618,1.0,1.0,0.0167996640067198,0.0058682634730538,1.9200988467874796,1.3466323466323469,0.0162767857142857,-0.002759081632653
19701,8680.0,0,0,-1,0,0,0,0.0,3257.542,129.332,105.648,108.159,164.145,0.0,1.0,0.0397023277059819,0.0321788722287268,0.0354645253100223,0.0565409134107144,0.2432946428571428,-0.075064387755102
19409,4650.0,0,0,0,-1,0,0,186.0,94.209,280.55,62.0,0.0,124.0,0.5566895527927259,0.4470432480141218,1.4547500401864653,0.4245383145828911,0.0,0.5960363582178513,0.0465888888888888,0.0042106666666666
2559,9610.0,-2,-2,-2,-2,-2,-2,256.277,2046.248,264.833,52.545,23.25,227.85,0.4105174297348296,7.98451675335672,0.1294531238161623,0.1984080533770338,0.4424778761061946,9.8,0.0566591397849462,0.0160466359447004
