n_estimators,learning_rate,max_depth,min_child_weight,colsample_bytree,reg_alpha,reg_lambda,threshold,cv_profit_mean,cv_profit_std
100,0.1,8,1,0.7,0.0,10.0,0.014,13.43,0.31
100,0.1,8,1,0.7,5.0,5.0,0.013,13.42,0.35
300,0.05,6,5,0.7,0.0,5.0,0.014,13.42,0.32
100,0.05,8,3,0.7,1.0,10.0,0.014,13.42,0.35
200,0.05,6,3,0.7,1.0,10.0,0.016,13.41,0.34
100,0.05,8,5,0.7,1.0,10.0,0.014,13.41,0.36
300,0.05,6,3,0.4,0.0,10.0,0.014,13.41,0.32
200,0.05,6,3,0.7,1.0,10.0,0.015,13.41,0.34
300,0.025,8,1,0.7,1.0,5.0,0.016,13.41,0.32
100,0.1,6,5,0.7,0.0,5.0,0.013,13.41,0.31
